"","primeiraCartaRobo","primeiraCartaHumano","segundaCartaRobo","segundaCartaHumano","terceiraCartaRobo","terceiraCartaHumano","results.cluster"
"450",24,7,4,16,7,24,4
"451",3,42,12,6,24,7,4
"452",24,2,52,8,-50,0,2
"453",50,1,16,4,-50,0,2
"454",-50,0,-50,0,-50,0,3
"455",8,7,1,7,24,8,4
"456",-50,0,-50,0,-50,0,3
"457",2,3,24,3,2,0,4
"458",4,8,16,12,-50,0,2
"459",6,12,52,24,16,6,4
"460",16,8,2,4,-50,3,2
"461",8,24,24,3,3,1,4
"462",2,24,6,2,-50,0,2
"463",8,16,8,6,-50,0,2
"464",-50,0,-50,0,-50,0,3
"465",6,8,24,6,1,0,4
"466",8,7,8,0,-50,0,2
"467",1,1,52,16,-50,0,2
"468",-50,0,-50,0,-50,0,3
"469",8,6,2,16,52,24,4
"470",12,16,-10,7,-10,0,1
"471",-50,7,-50,0,-50,0,3
"472",-10,0,-10,0,-10,0,1
"473",7,3,8,12,-50,1,2
"474",12,2,7,24,3,7,4
"475",-50,1,-50,0,-50,0,3
"476",16,24,-10,8,-10,0,1
"477",16,8,8,42,-50,2,2
"478",7,4,16,24,2,6,4
"479",-50,7,-50,0,-50,0,3
"480",7,16,-10,16,-10,0,1
"481",2,1,8,16,-50,3,2
"482",16,12,3,0,-15,0,1
"483",16,12,16,16,-50,0,2
"484",8,12,16,3,-50,0,2
"485",4,12,-15,0,-15,0,1
"486",12,6,6,7,-10,8,1
"487",8,7,24,24,-50,0,2
"488",-10,0,-10,0,-10,0,1
"489",16,8,8,8,-50,0,2
"490",-50,0,-50,0,-50,0,3
"491",12,6,6,16,16,1,4
"492",-50,0,-50,0,-50,0,3
"493",8,7,12,40,-10,3,4
"494",8,12,-10,7,-10,0,1
"495",8,7,4,6,42,16,4
"496",-50,0,-50,0,-50,0,3
"497",24,12,1,6,-10,52,4
"498",24,3,40,0,-50,0,2
"499",16,12,7,16,-10,6,1
"500",4,8,1,8,-15,0,1
"501",-15,0,-15,0,-15,0,1
"502",8,8,24,40,-15,0,4
"503",24,8,7,16,-50,0,2
"504",8,12,42,16,16,0,4
"505",-50,0,-50,0,-50,0,3
"506",6,24,16,2,52,0,4
"507",-50,0,-50,0,-50,0,3
"508",7,7,50,52,-15,0,4
"509",6,16,42,12,7,0,4
"510",4,40,-10,42,-10,0,1
"511",24,8,7,0,-50,0,2
"512",6,7,40,4,50,52,4
"513",7,3,12,0,-50,0,2
"514",3,4,8,7,-15,0,1
"515",2,24,16,7,24,52,4
"516",3,16,6,16,-15,0,1
"517",-15,0,-15,0,-15,0,1
"518",6,7,50,24,24,0,4
"519",-50,0,-50,0,-50,0,3
"520",16,16,50,52,-15,0,4
"521",-50,0,-50,0,-50,0,3
"522",2,0,-50,0,-50,0,3
"523",8,6,1,6,42,52,4
"524",7,12,42,6,6,0,4
"525",16,12,2,6,7,7,4
"526",7,3,1,6,-10,24,1
"527",6,8,-50,0,-50,0,3
"528",16,2,40,0,-50,0,2
"529",4,1,6,12,24,16,4
"530",12,1,16,40,8,8,4
"531",-50,0,-50,0,-50,0,3
"532",24,2,42,0,-50,0,2
"533",-50,0,-50,0,-50,0,3
"534",3,8,24,24,-15,0,1
